I0921 20:37:45.064178       1 cli.go:275] **************** gVisor ****************
I0921 20:37:45.064391       1 cli.go:276] Version 0.0.0, go1.26.3, amd64, 64 CPUs, linux, PID 1, PPID 0, UID 0, GID 0
D0921 20:37:45.064441       1 cli.go:277] Page size: 0x1000 (4096 bytes)
I0921 20:37:45.064489       1 cli.go:278] Args: [runsc-sandbox --root=/dev/shm/t25-1274519801/off-policy-state --debug=true --gofer-network-namespace=new --strace=true --rootless=true --pod-init-config=/tmp/pniroula/TestGovernedLoopback522509036/001/off-policy/pod-init.json --tunnel-socket=/dev/shm/t25-1274519801/a.sock --tunnel-table=/tmp/pniroula/TestGovernedLoopback522509036/001/off-policy/table.json --debug-log=/tmp/pniroula/TestGovernedLoopback522509036/001/off-policy/debug/ --network=none --platform=systrap --ignore-cgroups=true --debug-log-fd=3 boot --bundle=/dev/shm/t25-1274519801/off-policy --gofer-mount-confs=lisafs:none --apply-caps=true --setup-root --total-host-memory 807732506624 --total-memory 807732506624 --attached --io-fds=4 --dev-io-fd=-1 --mounts-fd=5 --start-sync-fd=6 --pin-ring-fd=7 --controller-fd=8 --spec-fd=9 --pod-init-config-fd=10 --sink-fds=11 --tunnel-table-fd=12 --tunnel-fd=13 --stdio-fds=14 --stdio-fds=15 --stdio-fds=16 t25-off-policy-487204]
I0921 20:37:45.064564       1 config.go:569] Platform: systrap
I0921 20:37:45.064610       1 config.go:570] RootDir: /dev/shm/t25-1274519801/off-policy-state
I0921 20:37:45.064631       1 config.go:571] FileAccess: exclusive / Directfs: true / Overlay: root:self
I0921 20:37:45.064660       1 config.go:572] Network: none
I0921 20:37:45.064684       1 config.go:573] UseCPUNums: false
I0921 20:37:45.064704       1 config.go:575] Debug: true. Strace: true, max size: 1024, syscalls: 
W0921 20:37:45.064727       1 config.go:578] --allow-suid is disabled, SUID/SGID bits on executables will be ignored.
D0921 20:37:45.064781       1 config.go:596] Config.RootDir (--root): /dev/shm/t25-1274519801/off-policy-state
D0921 20:37:45.064811       1 config.go:596] Config.Traceback (--traceback): system
