I0921 20:50:31.906209       1 cli.go:275] **************** gVisor ****************
I0921 20:50:31.906424       1 cli.go:276] Version 0.0.0, go1.26.3, amd64, 64 CPUs, linux, PID 1, PPID 0, UID 0, GID 0
D0921 20:50:31.906485       1 cli.go:277] Page size: 0x1000 (4096 bytes)
I0921 20:50:31.906537       1 cli.go:278] Args: [runsc-sandbox --tunnel-socket=/dev/shm/t25-1782914161/a.sock --debug=true --network=none --platform=systrap --tunnel-table=/tmp/pniroula/TestGovernedLoopback569555736/001/narrowed/table.json --root=/dev/shm/t25-1782914161/narrowed-state --debug-log=/tmp/pniroula/TestGovernedLoopback569555736/001/narrowed/debug/ --gofer-network-namespace=new --strace=true --rootless=true --ignore-cgroups=true --pod-init-config=/tmp/pniroula/TestGovernedLoopback569555736/001/narrowed/pod-init.json --debug-log-fd=3 boot --bundle=/dev/shm/t25-1782914161/narrowed --gofer-mount-confs=lisafs:none --apply-caps=true --setup-root --total-host-memory 807732506624 --total-memory 807732506624 --attached --io-fds=4 --dev-io-fd=-1 --mounts-fd=5 --start-sync-fd=6 --pin-ring-fd=7 --controller-fd=8 --spec-fd=9 --pod-init-config-fd=10 --sink-fds=11 --tunnel-table-fd=12 --tunnel-fd=13 --stdio-fds=14 --stdio-fds=15 --stdio-fds=16 t25-narrowed-536947]
I0921 20:50:31.906677       1 config.go:569] Platform: systrap
I0921 20:50:31.906726       1 config.go:570] RootDir: /dev/shm/t25-1782914161/narrowed-state
I0921 20:50:31.906786       1 config.go:571] FileAccess: exclusive / Directfs: true / Overlay: root:self
I0921 20:50:31.906822       1 config.go:572] Network: none
I0921 20:50:31.906850       1 config.go:573] UseCPUNums: false
I0921 20:50:31.906873       1 config.go:575] Debug: true. Strace: true, max size: 1024, syscalls: 
W0921 20:50:31.906897       1 config.go:578] --allow-suid is disabled, SUID/SGID bits on executables will be ignored.
D0921 20:50:31.906927       1 config.go:596] Config.RootDir (--root): /dev/shm/t25-1782914161/narrowed-state
D0921 20:50:31.906964       1 config.go:596] Config.Traceback (--traceback): system
D0921 20:50:31.906993       1 config.go:596] Config.Debug (--debug): true
D0921 20:50:31.907018       1 config.go:596] Config.LogFilename (--log): (empty)
D0921 20:50:31.907042       1 config.go:596] Config.LogFormat (--log-format): text
D0921 20:50:31.907110       1 config.go:596] Config.DebugLog (--debug-log): /tmp/pniroula/TestGovernedLoopback569555736/001/narrowed/debug/
D0921 20:50:31.907135       1 config.go:596] Config.DebugToUserLog (--debug-to-user-log): false
D0921 20:50:31.907160       1 config.go:596] Config.DebugCommand (--debug-command): (empty)
